"Year","Term.Number","Department","Course.Number","Number.of.Sections","Enrollments","Median.GPA.Points","Average.Section.Size"
2022,2,"LAT",3,1,16,3.69117647058824,17
2022,2,"LATS",3,1,12,3.16666666666667,12
2022,2,"LATS",8,1,28,4,28
2022,2,"LATS",37,1,21,4,21
2022,2,"LATS",40,1,21,3.33333333333333,21
2022,2,"LATS",45,1,20,3.83333333333333,20
2022,2,"LING",1,1,12,2.83333333333333,12
2022,2,"LING",17,1,25,4,25
2022,2,"LING",20,1,27,4,27
2022,2,"LING",24,1,10,4,10
2022,2,"LING",48,2,80,3.66666666666667,40
2022,2,"LING",7.07,1,11,3.66666666666667,11
2022,2,"LING",11.13,1,30,4,30
2022,2,"LING",11.17,1,29,4,29
2022,2,"MATH",8,2,62,3.33333333333333,31
2022,2,"MATH",10,3,390,4,130
2022,2,"MATH",13,3,198,3.66666666666667,66
2022,2,"MATH",20,1,43,3.66666666666667,43
2022,2,"MATH",22,3,324,4,108
2022,2,"MATH",23,2,46,3.66666666666667,23
2022,2,"MATH",24,1,15,4,15
2022,2,"MATH",38,1,15,3.66666666666667,15
2022,2,"MATH",46,1,16,3.16666666666667,16
2022,2,"MATH",60,1,25,4,23
2022,2,"MATH",70,1,10,3.66666666666667,10
2022,2,"MATH",74,1,10,4,10
2022,2,"MATH",75,1,13,4,13
2022,2,"MATH",87,1,10,4,10
2022,2,"MATH",30.04,2,99,4,49.5
2022,2,"MES",1,2,113,3.83185840707965,56.5
2022,2,"MES",4.01,1,22,3.33333333333333,22
2022,2,"MES",7.01,1,15,3.66666666666667,15
2022,2,"MES",7.05,1,16,3.66666666666667,16
2022,2,"MES",12.05,1,15,3.16666666666667,15
2022,2,"MES",12.14,1,17,4,15
2022,2,"MES",16.35,1,139,4,139
2022,2,"MES",19.05,1,13,3.66666666666667,13
2022,2,"MUS",1,1,45,4,45
2022,2,"MUS",2,1,43,4,30
2022,2,"MUS",8,1,35,4,35
2022,2,"MUS",3.06,1,27,4,27
2022,2,"MUS",8,1,31,4,31
2022,2,"MUS",70,1,14,4,14
2022,2,"MUS",71,1,14,4,14
2022,2,"MUS",87,1,14,4,14
2022,2,"MUS",14.04,1,31,4,31
2022,2,"MUS",17.06,1,30,4,30
2022,2,"MUS",30.02,1,14,4,11
2022,2,"MUS",53.03,1,19,3.66666666666667,19
2022,2,"MUS",56.03,1,23,3.33333333333333,23
2022,2,"MUS",99,1,18,4,18
2022,2,"NAS",8,1,34,4,30
2022,2,"NAS",15,1,15,3.66666666666667,18
2022,2,"NAS",16,1,13,3.66666666666667,16
2022,2,"NAS",18,1,17,4,15
2022,2,"NAS",35,1,44,3.66666666666667,44
2022,2,"NAS",50,1,38,3.66666666666667,42
2022,2,"NAS",7.07,1,15,4,15
2022,2,"NAS",30.21,1,26,3.66666666666667,27
2022,2,"NAS",30.24,1,27,4,27
2022,2,"NAS",30.25,1,15,4,15
2022,2,"NAS",81.04,1,14,4,14
2022,2,"PBPL",28,1,31,3.33333333333333,31
2022,2,"PBPL",40,1,28,3.33333333333333,36
2022,2,"PBPL",41,1,20,4,20
2022,2,"PBPL",84.04,1,17,3.66666666666667,17
2022,2,"PHIL",6,1,11,3.5,12
2022,2,"PHIL",8,1,33,3.66666666666667,26
2022,2,"PHIL",1.13,1,17,4,17
2022,2,"PHIL",12,1,12,4,12
2022,2,"PHIL",24,1,25,4,25
2022,2,"PHIL",30,1,13,4,13
2022,2,"PHIL",34,1,14,4,14
2022,2,"PHIL",9.02,1,27,3.66666666666667,27
2022,2,"",19.04,1,11,4,11
2022,2,"PHIL",31.09,1,11,4,11
2022,2,"PHIL",80.26,1,11,4,11
2022,2,"PHYS",1,1,34,4,34
2022,2,"PHYS",2,1,115,4,55
2022,2,"PHYS",1.11,1,39,3.33333333333333,39
2022,2,"PHYS",14,2,140,3,70
2022,2,"PHYS",40,1,16,3.66666666666667,16
2022,2,"PHYS",50,1,11,3.66666666666667,11
2022,2,"PHYS",7.08,1,16,4,16
2022,2,"PHYS",76,1,16,4,10
2022,2,"PSYC",1,1,65,3.66666666666667,65
2022,2,"PSYC",10,1,46,3.33333333333333,46
2022,2,"",11,1,29,4,29
2022,2,"PSYC",22,1,69,4,69
2022,2,"",25,1,21,4,21
2022,2,"PSYC",28,1,95,4,95
2022,2,"PSYC",36,1,26,3.66666666666667,26
2022,2,"PSYC",43,1,49,4,49
2022,2,"",7.02,1,16,4,16
2022,2,"PSYC",51.09,1,28,3.66666666666667,28
2022,2,"PSYC",52.06,1,10,3.83333333333333,10
2022,2,"PSYC",53.14,1,30,4,30
2022,2,"PSYC",5.05,1,33,4,33
2022,2,"PSYC",54.05,1,31,4,31
2022,2,"PSYC",17.08,1,16,4,16
2022,2,"PSYC",84.05,1,14,4,11
2022,2,"PSYC",86.05,1,13,4,13
2022,2,"QSS",17,2,48,3.33333333333333,24
2022,2,"",41,1,19,3.66666666666667,19
2022,2,"",82,1,11,4,11
2022,2,"QSS",30.03,1,14,3.66666666666667,14
2022,2,"QSS",30.04,2,116,4,53
2022,2,"REL",5,1,58,3.66666666666667,58
2022,2,"REL",1.09,1,57,3.66666666666667,57
2022,2,"REL",37,1,11,4,11
2022,2,"REL",43,1,26,3.66666666666667,26
2022,2,"REL",19.22,1,34,4,34
2022,2,"",68,1,56,3.66666666666667,56
2022,2,"REL",21.03,1,29,4,29
2022,2,"REL",28.04,1,13,3.66666666666667,13
2022,2,"REL",28.06,1,10,4,10
2022,2,"REL",41.07,1,27,4,27
2022,2,"REL",57.07,1,13,3.66666666666667,11
2022,2,"REL",80.1,1,12,3.66666666666667,12
2022,2,"RUSS",3,1,13,4,13
2022,2,"RUSS",38.1,1,31,3.33333333333333,31
2022,2,"RUSS",38.18,1,25,4,25
2022,2,"",38.19,1,12,4,12
2022,2,"RUSS",50.03,1,21,3.66666666666667,21
2022,2,"SART",15,3,43,4,14.3333333333333
2022,2,"SART",16,2,26,4,10
2022,2,"SART",25,1,12,4,14
2022,2,"SART",29,1,18,4,17
2022,2,"SART",30,1,11,4,11
2022,2,"SART",80.23,1,11,4,11
2022,2,"SART",16.09,1,11,4,11
2022,2,"SART",17.2,1,11,4,11
2022,2,"SOCY",1,1,50,4,49
2022,2,"SOCY",10,1,32,3.33333333333333,32
2022,2,"SOCY",11,1,26,4,26
2022,2,"SOCY",38,1,29,4,29
2022,2,"SOCY",42,1,19,4,19
2022,2,"SOCY",48,1,21,3.33333333333333,21
2022,2,"SOCY",69,1,19,4,19
2022,2,"SOCY",72,1,19,4,19
2022,2,"",91,1,17,4,17
2022,2,"SOCY",49.26,1,30,3.66666666666667,30
2022,2,"SOCY",49.27,1,19,4,19
2022,2,"SPAN",1,2,58,4,29
2022,2,"SPAN",2,4,160,3.66666666666667,40
2022,2,"",3,8,721,3.66666666666667,103
2022,2,"SPAN",9,2,54,4,27
2022,2,"SPAN",20,2,38,4,19
2022,2,"SPAN",23,1,11,4,11
2022,2,"SPAN",33,1,11,4,11
2022,2,"SPAN",35,1,11,4,11
2022,2,"SPAN",7.08,1,18,4,16
2022,2,"SPAN",40.07,1,11,4,11
2022,2,"SPAN",55.04,1,15,4,12
2022,2,"SPAN",73.04,1,14,4,14
2022,2,"SPAN",80.23,1,11,4,11
2022,2,"SPEE",72,1,16,4,15
2022,2,"SPEE",20.01,1,13,4,13
2022,2,"SPEE",20.03,1,12,4,12
2022,2,"THEA",17,1,16,4,16
2022,2,"THEA",27,1,14,4,14
2022,2,"",6,2,29,3.58620689655172,16
2022,2,"THEA",36,1,12,4,11
2022,2,"THEA",40,1,15,4,15
2022,2,"THEA",48,1,14,4,14
2022,2,"THEA",7.01,2,32,4,16
2022,2,"",10.08,1,19,4,18
2022,2,"TUCK",3,2,124,3.66666666666667,62
2022,2,"WGSS",3,1,23,4,22
2022,2,"WGSS",16,1,11,4,11
2022,2,"WGSS",7.01,1,16,4,16
2022,2,"WGSS",7.2,1,15,4,15
2022,2,"WGSS",80,1,10,4,10
2022,2,"WGSS",23.02,1,14,3.66666666666667,14
2022,2,"",33.03,1,34,4,34
2022,2,"WGSS",37.04,1,18,4,18
2022,2,"WGSS",42.05,1,28,4,28
2022,2,"WGSS",43.06,1,13,3.66666666666667,13
2022,2,"WGSS",51.09,1,30,3.66666666666667,19
2022,2,"WGSS",53.07,1,28,4,24
2022,2,"WGSS",65.07,1,18,4,18
2022,2,"",66.07,1,10,4,10
2022,2,"WGSS",66.11,1,10,4,10
2022,2,"WGSS",66.12,1,15,4,15
2022,2,"WGSS",66.14,2,136,4,68
2022,2,"WGSS",66.16,1,19,4,19
2022,2,"WGSS",66.17,1,17,4,10
2022,2,"WRIT",41,1,20,4,20
2022,2,"WRIT",1,1,16,4,16
2022,2,"WRIT",7.28,1,16,4,12
2022,2,"WRIT",7.3,1,16,3.83333333333333,16
2022,2,"WRIT",7.32,1,16,3.66666666666667,27
2022,2,"WRIT",7.34,1,16,3.83333333333333,16
2022,2,"WRIT",7.35,1,16,4,16
2022,2,"WRIT",7.36,1,16,3.66666666666667,16
2022,2,"WRIT",7.37,2,30,4,15
2022,2,"WRIT",7.38,1,16,4,16
